id,teacher_name
1000101,Lai Mỹ Trinh
1000102,Lai Mỹ Trinh
2000201,Lê Thị Ngọc Trinh
2000202,Lê Thị Ngọc Trinh
2000203,Lê Thị Ngọc Trinh
2000204,Lê Thị Ngọc Trinh
2000205,Lê Thị Ngọc Trinh
2000206,Lê Thị Ngọc Trinh
2000207,Lê Thị Ngọc Trinh
3000301,Nguyễn Thị Tuyết Trinh
3000302,Nguyễn Thị Tuyết Trinh
3000303,Nguyễn Thị Tuyết Trinh
3000304,Nguyễn Thị Tuyết Trinh
3000305,Nguyễn Thị Tuyết Trinh
3000306,Nguyễn Thị Tuyết Trinh
3000307,Nguyễn Thị Tuyết Trinh
3000308,Nguyễn Thị Tuyết Trinh
4000401,Nguyễn Thùy Trinh
4000402,Nguyễn Thùy Trinh
4000403,Nguyễn Thùy Trinh
5000501,Thái Mỹ Trinh
5000502,Thái Mỹ Trinh
5000503,Thái Mỹ Trinh
5000504,Thái Mỹ Trinh
5000505,Thái Mỹ Trinh
5000506,Thái Mỹ Trinh
6000601,Thái Yến Trinh
6000602,Thái Yến Trinh
6000603,Thái Yến Trinh
6000604,Thái Yến Trinh
6000605,Thái Yến Trinh
6000606,Thái Yến Trinh
6000607,Thái Yến Trinh
6000608,Thái Yến Trinh
6000609,Thái Yến Trinh
7000701,Trần Thị Phương Trinh
7000702,Trần Thị Phương Trinh
7000703,Trần Thị Phương Trinh
7000704,Trần Thị Phương Trinh
7000705,Trần Thị Phương Trinh
7000706,Trần Thị Phương Trinh
8000801,Trần Trương Việt Trinh
8000802,Trần Trương Việt Trinh
8000803,Trần Trương Việt Trinh
8000804,Trần Trương Việt Trinh
8000805,Trần Trương Việt Trinh
8000806,Trần Trương Việt Trinh
8000807,Trần Trương Việt Trinh
8000808,Trần Trương Việt Trinh
8000809,Trần Trương Việt Trinh
9000901,Nguyễn Đỗ Trọng
9000902,Nguyễn Đỗ Trọng
10001001,Đào Hoàng Thủy Trúc
10001002,Đào Hoàng Thủy Trúc
10001003,Đào Hoàng Thủy Trúc
11001101,Huỳnh Ngọc Thanh Trúc
11001102,Huỳnh Ngọc Thanh Trúc
11001103,Huỳnh Ngọc Thanh Trúc
11001104,Huỳnh Ngọc Thanh Trúc
11001105,Huỳnh Ngọc Thanh Trúc
11001106,Huỳnh Ngọc Thanh Trúc
11001107,Huỳnh Ngọc Thanh Trúc
11001108,Huỳnh Ngọc Thanh Trúc
11001109,Huỳnh Ngọc Thanh Trúc
12001201,Lê Ngọc Thanh Trúc
12001202,Lê Ngọc Thanh Trúc
12001203,Lê Ngọc Thanh Trúc
12001204,Lê Ngọc Thanh Trúc
12001205,Lê Ngọc Thanh Trúc
12001206,Lê Ngọc Thanh Trúc
12001207,Lê Ngọc Thanh Trúc
12001208,Lê Ngọc Thanh Trúc
13001301,Lê Phan Xuân Trúc
13001302,Lê Phan Xuân Trúc
13001303,Lê Phan Xuân Trúc
13001304,Lê Phan Xuân Trúc
13001305,Lê Phan Xuân Trúc
13001306,Lê Phan Xuân Trúc
13001307,Lê Phan Xuân Trúc
14001401,Nguyễn Lê Thanh Trúc
14001402,Nguyễn Lê Thanh Trúc
14001403,Nguyễn Lê Thanh Trúc
14001404,Nguyễn Lê Thanh Trúc
14001405,Nguyễn Lê Thanh Trúc
15001501,Nguyễn Ngọc Trúc
15001502,Nguyễn Ngọc Trúc
15001503,Nguyễn Ngọc Trúc
15001504,Nguyễn Ngọc Trúc
16001601,Nguyễn Phương Trúc
16001602,Nguyễn Phương Trúc
16001603,Nguyễn Phương Trúc
16001604,Nguyễn Phương Trúc
16001605,Nguyễn Phương Trúc
17001701,Nguyễn Thanh Trúc
17001702,Nguyễn Thanh Trúc
17001703,Nguyễn Thanh Trúc
17001704,Nguyễn Thanh Trúc
17001705,Nguyễn Thanh Trúc
17001706,Nguyễn Thanh Trúc
18001801,Phạm Thị Thanh Trúc
18001802,Phạm Thị Thanh Trúc
18001803,Phạm Thị Thanh Trúc
18001804,Phạm Thị Thanh Trúc
18001805,Phạm Thị Thanh Trúc
18001806,Phạm Thị Thanh Trúc
18001807,Phạm Thị Thanh Trúc
19001901,Tạ Thị Thanh Trúc
19001902,Tạ Thị Thanh Trúc
19001903,Tạ Thị Thanh Trúc
19001904,Tạ Thị Thanh Trúc
19001905,Tạ Thị Thanh Trúc
20002001,Trần Thị Kim Trúc
20002002,Trần Thị Kim Trúc
20002003,Trần Thị Kim Trúc
20002004,Trần Thị Kim Trúc
21002101,Trần Thị Thanh Trúc
21002102,Trần Thị Thanh Trúc
21002103,Trần Thị Thanh Trúc
21002104,Trần Thị Thanh Trúc
22002201,Trần Thủy Trúc
22002202,Trần Thủy Trúc
22002203,Trần Thủy Trúc
22002204,Trần Thủy Trúc
22002205,Trần Thủy Trúc
22002206,Trần Thủy Trúc
22002207,Trần Thủy Trúc
22002208,Trần Thủy Trúc
23002301,Trương Hoàng Thiên Trúc
23002302,Trương Hoàng Thiên Trúc
23002303,Trương Hoàng Thiên Trúc
24002401,Võ Hiền Thanh Trúc
24002402,Võ Hiền Thanh Trúc
25002501,La Chất Trung
25002502,La Chất Trung
25002503,La Chất Trung
25002504,La Chất Trung
25002505,La Chất Trung
26002601,Lưu Trương Minh Trung
26002602,Lưu Trương Minh Trung
26002603,Lưu Trương Minh Trung
26002604,Lưu Trương Minh Trung
26002605,Lưu Trương Minh Trung
26002606,Lưu Trương Minh Trung
26002607,Lưu Trương Minh Trung
26002608,Lưu Trương Minh Trung
27002701,Nguyễn Minh Trung
27002702,Nguyễn Minh Trung
27002703,Nguyễn Minh Trung
27002704,Nguyễn Minh Trung
27002705,Nguyễn Minh Trung
27002706,Nguyễn Minh Trung
27002707,Nguyễn Minh Trung
28002801,Nguyễn Thanh Trung
28002802,Nguyễn Thanh Trung
28002803,Nguyễn Thanh Trung
28002804,Nguyễn Thanh Trung
28002805,Nguyễn Thanh Trung
28002806,Nguyễn Thanh Trung
28002807,Nguyễn Thanh Trung
28002808,Nguyễn Thanh Trung
28002809,Nguyễn Thanh Trung
29002901,Nguyễn Thành Trung
29002902,Nguyễn Thành Trung
29002903,Nguyễn Thành Trung
29002904,Nguyễn Thành Trung
29002905,Nguyễn Thành Trung
29002906,Nguyễn Thành Trung
29002907,Nguyễn Thành Trung
29002908,Nguyễn Thành Trung
30003001,Nguyễn Văn Trung
30003002,Nguyễn Văn Trung
30003003,Nguyễn Văn Trung
30003004,Nguyễn Văn Trung
30003005,Nguyễn Văn Trung
30003006,Nguyễn Văn Trung
30003007,Nguyễn Văn Trung
31003101,Trần Nguyễn Minh Trung
31003102,Trần Nguyễn Minh Trung
31003103,Trần Nguyễn Minh Trung
31003104,Trần Nguyễn Minh Trung
32003201,Vũ Tín Trung
32003202,Vũ Tín Trung
32003203,Vũ Tín Trung
32003204,Vũ Tín Trung
32003205,Vũ Tín Trung
32003206,Vũ Tín Trung
32003207,Vũ Tín Trung
33003301,Nguyễn Thị Thu Truyền
33003302,Nguyễn Thị Thu Truyền
33003303,Nguyễn Thị Thu Truyền
33003304,Nguyễn Thị Thu Truyền
33003305,Nguyễn Thị Thu Truyền
33003306,Nguyễn Thị Thu Truyền
33003307,Nguyễn Thị Thu Truyền
34003401,Dương Minh Trường
34003402,Dương Minh Trường
34003403,Dương Minh Trường
34003404,Dương Minh Trường
34003405,Dương Minh Trường
34003406,Dương Minh Trường
35003501,Đỗ Lê Thanh Trường
35003502,Đỗ Lê Thanh Trường
35003503,Đỗ Lê Thanh Trường
35003504,Đỗ Lê Thanh Trường
35003505,Đỗ Lê Thanh Trường
35003506,Đỗ Lê Thanh Trường
35003507,Đỗ Lê Thanh Trường
35003508,Đỗ Lê Thanh Trường
35003509,Đỗ Lê Thanh Trường
36003601,Nguyễn Nhật Trường
36003602,Nguyễn Nhật Trường
36003603,Nguyễn Nhật Trường
36003604,Nguyễn Nhật Trường
36003605,Nguyễn Nhật Trường
36003606,Nguyễn Nhật Trường
36003607,Nguyễn Nhật Trường
37003701,Nguyễn Nhựt Trường
37003702,Nguyễn Nhựt Trường
37003703,Nguyễn Nhựt Trường
37003704,Nguyễn Nhựt Trường
37003705,Nguyễn Nhựt Trường
37003706,Nguyễn Nhựt Trường
37003707,Nguyễn Nhựt Trường
38003801,Phạm Ngô Nhật Trường
38003802,Phạm Ngô Nhật Trường
38003803,Phạm Ngô Nhật Trường
38003804,Phạm Ngô Nhật Trường
38003805,Phạm Ngô Nhật Trường
38003806,Phạm Ngô Nhật Trường
38003807,Phạm Ngô Nhật Trường
38003808,Phạm Ngô Nhật Trường
39003901,Phạm Thanh Trường
39003902,Phạm Thanh Trường
39003903,Phạm Thanh Trường
39003904,Phạm Thanh Trường
39003905,Phạm Thanh Trường
39003906,Phạm Thanh Trường
39003907,Phạm Thanh Trường
39003908,Phạm Thanh Trường
40004001,Thân Đức Trường
40004002,Thân Đức Trường
40004003,Thân Đức Trường
40004004,Thân Đức Trường
40004005,Thân Đức Trường
40004006,Thân Đức Trường
40004007,Thân Đức Trường
40004008,Thân Đức Trường
41004101,Văn Nhựt Trường
41004102,Văn Nhựt Trường
41004103,Văn Nhựt Trường
41004104,Văn Nhựt Trường
41004105,Văn Nhựt Trường
41004106,Văn Nhựt Trường
42004201,Bùi Quân Tú
42004202,Bùi Quân Tú
42004203,Bùi Quân Tú
42004204,Bùi Quân Tú
42004205,Bùi Quân Tú
42004206,Bùi Quân Tú
43004301,Đỗ Lê Thanh Tú
43004302,Đỗ Lê Thanh Tú
43004303,Đỗ Lê Thanh Tú
43004304,Đỗ Lê Thanh Tú
44004401,Khả Quốc Gia Tú
44004402,Khả Quốc Gia Tú
44004403,Khả Quốc Gia Tú
45004501,Lê Khoa Cẩm Tú
45004502,Lê Khoa Cẩm Tú
45004503,Lê Khoa Cẩm Tú
45004504,Lê Khoa Cẩm Tú
45004505,Lê Khoa Cẩm Tú
45004506,Lê Khoa Cẩm Tú
45004507,Lê Khoa Cẩm Tú
46004601,Nguyễn Ngọc Tú
46004602,Nguyễn Ngọc Tú
46004603,Nguyễn Ngọc Tú
46004604,Nguyễn Ngọc Tú
46004605,Nguyễn Ngọc Tú
46004606,Nguyễn Ngọc Tú
47004701,Phạm Tấn Tú
47004702,Phạm Tấn Tú
47004703,Phạm Tấn Tú
48004801,Trương Thị Cẩm Tú
48004802,Trương Thị Cẩm Tú
49004901,Dương Ngọc Tuấn
49004902,Dương Ngọc Tuấn
49004903,Dương Ngọc Tuấn
50005001,Huỳnh Tú Tuấn
50005002,Huỳnh Tú Tuấn
51005101,Lâm Minh Tuấn
51005102,Lâm Minh Tuấn
51005103,Lâm Minh Tuấn
51005104,Lâm Minh Tuấn
51005105,Lâm Minh Tuấn
51005106,Lâm Minh Tuấn
51005107,Lâm Minh Tuấn
51005108,Lâm Minh Tuấn
52005201,Lê Âu Tuấn
52005202,Lê Âu Tuấn
52005203,Lê Âu Tuấn
52005204,Lê Âu Tuấn
52005205,Lê Âu Tuấn
52005206,Lê Âu Tuấn
53005301,Lê Quốc Tuấn
53005302,Lê Quốc Tuấn
53005303,Lê Quốc Tuấn
53005304,Lê Quốc Tuấn
53005305,Lê Quốc Tuấn
54005401,Nguyễn Quốc Tuấn
54005402,Nguyễn Quốc Tuấn
54005403,Nguyễn Quốc Tuấn
54005404,Nguyễn Quốc Tuấn
54005405,Nguyễn Quốc Tuấn
54005406,Nguyễn Quốc Tuấn
54005407,Nguyễn Quốc Tuấn
55005501,Nguyễn Thanh Tuấn
55005502,Nguyễn Thanh Tuấn
56005601,Phạm Trọng Tuấn
56005602,Phạm Trọng Tuấn
57005701,Tần Anh Tuấn
57005702,Tần Anh Tuấn
57005703,Tần Anh Tuấn
57005704,Tần Anh Tuấn
58005801,Tiêu Anh Tuấn
58005802,Tiêu Anh Tuấn
58005803,Tiêu Anh Tuấn
58005804,Tiêu Anh Tuấn
58005805,Tiêu Anh Tuấn
58005806,Tiêu Anh Tuấn
58005807,Tiêu Anh Tuấn
59005901,Đặng Huy Tùng
59005902,Đặng Huy Tùng
59005903,Đặng Huy Tùng
59005904,Đặng Huy Tùng
59005905,Đặng Huy Tùng
59005906,Đặng Huy Tùng
59005907,Đặng Huy Tùng
60006001,Huỳnh Văn Tùng
60006002,Huỳnh Văn Tùng
60006003,Huỳnh Văn Tùng
60006004,Huỳnh Văn Tùng
61006101,Lương Huỳnh Nhật Tùng
61006102,Lương Huỳnh Nhật Tùng
61006103,Lương Huỳnh Nhật Tùng
61006104,Lương Huỳnh Nhật Tùng
61006105,Lương Huỳnh Nhật Tùng
62006201,Nguyễn Công Tùng
62006202,Nguyễn Công Tùng
62006203,Nguyễn Công Tùng
62006204,Nguyễn Công Tùng
63006301,Quang Thanh Tùng
63006302,Quang Thanh Tùng
63006303,Quang Thanh Tùng
63006304,Quang Thanh Tùng
63006305,Quang Thanh Tùng
63006306,Quang Thanh Tùng
63006307,Quang Thanh Tùng
64006401,Trà Thanh Tùng
64006402,Trà Thanh Tùng
64006403,Trà Thanh Tùng
64006404,Trà Thanh Tùng
64006405,Trà Thanh Tùng
64006406,Trà Thanh Tùng
64006407,Trà Thanh Tùng
65006501,Hùynh Thanh Tuyền
65006502,Hùynh Thanh Tuyền
65006503,Hùynh Thanh Tuyền
65006504,Hùynh Thanh Tuyền
65006505,Hùynh Thanh Tuyền
65006506,Hùynh Thanh Tuyền
65006507,Hùynh Thanh Tuyền
65006508,Hùynh Thanh Tuyền
65006509,Hùynh Thanh Tuyền
66006601,Lưu Thanh Tuyền
66006602,Lưu Thanh Tuyền
66006603,Lưu Thanh Tuyền
66006604,Lưu Thanh Tuyền
66006605,Lưu Thanh Tuyền
66006606,Lưu Thanh Tuyền
66006607,Lưu Thanh Tuyền
67006701,Nguyễn Lam Tuyền
67006702,Nguyễn Lam Tuyền
68006801,Nguyễn Thanh Tuyền
68006802,Nguyễn Thanh Tuyền
68006803,Nguyễn Thanh Tuyền
69006901,Nguyễn Thị Kim Tuyền
69006902,Nguyễn Thị Kim Tuyền
69006903,Nguyễn Thị Kim Tuyền
69006904,Nguyễn Thị Kim Tuyền
69006905,Nguyễn Thị Kim Tuyền
69006906,Nguyễn Thị Kim Tuyền
70007001,Nguyễn Thị Thanh Tuyền
70007002,Nguyễn Thị Thanh Tuyền
70007003,Nguyễn Thị Thanh Tuyền
70007004,Nguyễn Thị Thanh Tuyền
70007005,Nguyễn Thị Thanh Tuyền
70007006,Nguyễn Thị Thanh Tuyền
71007101,Phạm Lê Cẩm Tuyền
71007102,Phạm Lê Cẩm Tuyền
71007103,Phạm Lê Cẩm Tuyền
71007104,Phạm Lê Cẩm Tuyền
71007105,Phạm Lê Cẩm Tuyền
71007106,Phạm Lê Cẩm Tuyền
71007107,Phạm Lê Cẩm Tuyền
71007108,Phạm Lê Cẩm Tuyền
71007109,Phạm Lê Cẩm Tuyền
72007201,Trần Ngọc Phương Tuyền
72007202,Trần Ngọc Phương Tuyền
72007203,Trần Ngọc Phương Tuyền
72007204,Trần Ngọc Phương Tuyền
72007205,Trần Ngọc Phương Tuyền
72007206,Trần Ngọc Phương Tuyền
73007301,Trương Nguyễn Thị Kim Tuyền
73007302,Trương Nguyễn Thị Kim Tuyền
74007401,Vương Bội Tuyền
74007402,Vương Bội Tuyền
74007403,Vương Bội Tuyền
74007404,Vương Bội Tuyền
74007405,Vương Bội Tuyền
74007406,Vương Bội Tuyền
74007407,Vương Bội Tuyền
75007501,Nguyễn Thị Kim Tuyến
75007502,Nguyễn Thị Kim Tuyến
75007503,Nguyễn Thị Kim Tuyến
76007601,Đào Ánh Tuyết
76007602,Đào Ánh Tuyết
76007603,Đào Ánh Tuyết
76007604,Đào Ánh Tuyết
76007605,Đào Ánh Tuyết
77007701,Lưu Thị Ngọc Tuyết
77007702,Lưu Thị Ngọc Tuyết
77007703,Lưu Thị Ngọc Tuyết
77007704,Lưu Thị Ngọc Tuyết
77007705,Lưu Thị Ngọc Tuyết
77007706,Lưu Thị Ngọc Tuyết
77007707,Lưu Thị Ngọc Tuyết
77007708,Lưu Thị Ngọc Tuyết
77007709,Lưu Thị Ngọc Tuyết
78007801,Trang Tiểu Tuyết
78007802,Trang Tiểu Tuyết
78007803,Trang Tiểu Tuyết
78007804,Trang Tiểu Tuyết
79007901,Châu Nghiệp Tường
79007902,Châu Nghiệp Tường
80008001,Nguyễn Thảo Tường
80008002,Nguyễn Thảo Tường
80008003,Nguyễn Thảo Tường
80008004,Nguyễn Thảo Tường
80008005,Nguyễn Thảo Tường
80008006,Nguyễn Thảo Tường
81008101,Lâm Kim Tỷ
81008102,Lâm Kim Tỷ
81008103,Lâm Kim Tỷ
81008104,Lâm Kim Tỷ
81008105,Lâm Kim Tỷ
81008106,Lâm Kim Tỷ
